Turns;Number of detected malicious nodes;Number of false detections
1;5;0;25
2;9;0;44
3;11;0;60
4;14;0;77
5;16;0;102
6;19;0;124
7;20;0;141
8;21;0;163
9;23;0;181
10;23;0;195
11;23;0;206
12;23;1;225
13;23;1;245
14;23;1;257
15;24;1;279
16;25;1;304
17;25;1;323
18;25;1;341
19;25;1;363
20;25;1;383
21;26;1;405
22;26;1;424
23;26;1;439
24;26;1;452
25;26;1;467
26;26;2;483
27;27;2;502
28;29;2;529
29;29;2;552
30;29;2;568
31;29;2;586
32;29;2;604
33;29;2;629
34;30;3;644
35;30;3;663
36;30;3;678
37;30;3;695
38;30;3;713
39;30;3;736
40;31;3;758
41;31;3;782
42;31;3;807
43;31;3;824
44;31;3;844
45;31;3;857
46;31;4;853
47;31;4;868
48;31;5;888
49;31;5;904
50;31;6;923
51;31;6;940
52;31;6;965
53;31;6;986
54;31;6;1003
55;31;6;1014
56;31;6;1033
57;32;6;1050
58;32;6;1067
59;32;6;1086
60;32;6;1105
61;32;6;1121
62;32;6;1138
63;32;6;1158
64;32;6;1173
65;32;7;1190
66;32;7;1205
67;32;7;1219
68;32;7;1239
69;32;7;1259
70;32;7;1282
71;32;7;1301
72;32;7;1320
73;32;7;1337
74;32;7;1355
75;32;7;1367
76;32;7;1385
77;32;7;1406
78;32;7;1427
79;32;7;1446
80;32;7;1462
81;32;7;1482
82;32;7;1505
83;32;7;1521
84;32;7;1534
85;32;7;1554
86;32;7;1570
87;32;7;1587
88;32;7;1607
89;32;7;1622
90;32;7;1638
91;32;7;1656
92;32;7;1668
93;32;7;1685
94;32;7;1704
95;32;7;1719
96;32;7;1734
97;32;7;1750
98;32;7;1763
99;32;7;1781
100;32;7;1800
101;32;7;1817
102;32;7;1837
103;32;7;1853
104;32;7;1872
105;32;7;1887
106;32;8;1912
107;32;8;1928
108;32;8;1947
109;32;8;1964
110;32;8;1984
111;32;8;1999
112;32;8;2021
113;32;9;2046
114;32;10;2063
115;32;10;2077
116;32;10;2094
117;32;10;2110
118;32;10;2124
119;32;10;2144
120;32;10;2160
121;32;10;2178
122;32;11;2196
123;32;11;2211
124;32;12;2202
125;32;12;2219
126;32;12;2237
127;32;12;2253
128;32;12;2269
129;32;12;2285
130;32;12;2302
131;32;12;2319
132;32;12;2334
133;32;12;2351
134;32;12;2377
135;32;12;2395
136;32;12;2414
137;32;12;2429
138;32;12;2449
139;32;12;2466
140;32;12;2478
141;32;12;2494
142;32;12;2512
143;32;12;2529
144;32;12;2548
145;32;12;2564
146;32;12;2576
147;32;12;2586
148;32;12;2606
149;32;12;2621
150;32;12;2636
151;32;12;2653
152;32;12;2675
153;32;12;2690
154;32;12;2710
155;32;12;2729
156;32;12;2752
157;32;12;2766
158;32;12;2783
159;32;12;2801
160;32;12;2818
161;32;12;2836
162;32;12;2852
163;32;12;2867
164;32;12;2884
165;32;12;2905
166;32;12;2917
167;32;12;2937
168;32;12;2959
169;32;12;2969
170;32;12;2987
171;32;12;3008
172;32;12;3024
173;32;12;3042
174;32;12;3054
175;32;12;3072
176;32;12;3086
177;32;13;3101
178;32;13;3120
179;32;13;3135
180;32;14;3153
181;32;15;3169
182;32;15;3184
183;32;15;3204
184;32;15;3219
185;32;15;3229
186;32;15;3243
187;32;15;3262
188;32;15;3284
189;32;15;3298
190;32;15;3310
191;32;15;3324
192;32;15;3343
193;32;15;3357
194;32;15;3373
195;32;15;3392
196;32;15;3404
197;32;15;3420
198;32;15;3432
199;32;15;3448
200;32;15;3462
